accession,collection_date,isolation_source,isolation_taxa,city,county,state,FIPS,region_name,district_name,latitude,longitude,data_source
W383,4-Aug-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.317,-119.06,WN4K
W180,5-Aug-06,mosquito,Culex quinquefasciatus,Encino,Los Angeles,California,6037,West,Pacific,34.183,-118.485,WN4K
W179,7-Aug-06,mosquito,Culex quinquefasciatus,Encino,Los Angeles,California,6037,West,Pacific,34.181,-118.481,WN4K
W121,8-Aug-06,bird,Turdus migratorius,Doyle,Lassen,California,6035,West,Pacific,40.018,-120.124,WN4K
W278,9-Aug-06,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.328,-119.019,WN4K
W647,10-Aug-06,mosquito,Culex tarsalis,Natomas,Sacramento,California,6067,West,Pacific,38.729,-121.497,WN4K
W122,14-Aug-06,bird,Aphelocoma californica,Oroville,Butte,California,6007,West,Pacific,39.642,-121.53,WN4K
W279,14-Aug-06,bird,Passer domesticus,Bakersfield,Kern,California,6029,West,Pacific,35.4,-119.095,WN4K
W280,15-Aug-06,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.42,-119.069,WN4K
W281,17-Aug-06,bird,Haemorhous mexicanus,Bakersfield,Kern,California,6029,West,Pacific,35.398,-119.016,WN4K
W648,17-Aug-06,mosquito,Culex pipiens,Sacramento,Sacramento,California,6067,West,Pacific,38.627,-121.478,WN4K
W282,24-Aug-06,bird,Pheucticus melanocephalus,Bakersfield,Kern,California,6029,West,Pacific,35.373,-119.021,WN4K
W283,30-Aug-06,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.371,-119.166,WN4K
W123,13-Sep-06,bird,Pica nuttalli,Modesto,Stanislaus,California,6099,West,Pacific,37.651,-121.028,WN4K
W797,13-Sep-06,bird,Pica nuttalli,Sacramento,Sacramento,California,6067,West,Pacific,38.635,-121.466,WN4K
W798,14-Sep-06,bird,Tyto alba,Woodland,Yolo,California,6113,West,Pacific,38.73,-121.956,WN4K
W017,19-Mar-07,bird,Aphelocoma,San_Diego,San Diego,California,6073,West,Pacific,32.756999,-117.07222,WN4K
W018,19-Mar-07,bird,Corvus brachyrhynchos,Oceanside,San Diego,California,6073,West,Pacific,33.238742,-117.335044,WN4K
W384,5-Jun-07,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.252,-119.236,WN4K
W385,6-Jun-07,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.29,-118.979,WN4K
W284,7-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.341,-119.065,WN4K
W386,8-Jun-07,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.317,-119.06,WN4K
W285,13-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.362,-118.966,WN4K
W286,14-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.354,-118.94,WN4K
W387,15-Jun-07,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.317,-119.06,WN4K
W287,20-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.377,-119.116,WN4K
W124,21-Jun-07,bird,Aphelocoma californica,Gridley,Butte,California,6007,West,Pacific,39.362,-121.66,WN4K
W288,22-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.346,-119.064,WN4K
W388,22-Jun-07,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.326,-119.075,WN4K
W125,24-Jun-07,bird,Aphelocoma californica,Modesto,Stanislaus,California,6099,West,Pacific,37.641,-120.979,WN4K
W126,24-Jun-07,bird,Aphelocoma californica,Fresno,Fresno,California,6019,West,Pacific,36.821,-119.763,WN4K
W289,25-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.288,-119.041,WN4K
W290,25-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.34,-119.126,WN4K
W291,29-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.389,-119.15,WN4K
W292,29-Jun-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.389,-119.15,WN4K
W293,5-Jul-07,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.35,-119.028,WN4K
W649,6-Jul-07,mosquito,Culex tarsalis,Wilton,Sacramento,California,6067,West,Pacific,38.448,-121.198,WN4K
